received_date,sender_initials,origin_type,origin_value,postmark_date,postmark_raw,postmark_status,source_page,source_entry,source_marker,raw_entry,transcription_status,notes
2026-04-06,BB,zip_suffix,01,2026-03-31,3/31,known,82,1,,BB-01 3/31,reviewed,
2026-04-06,D?,geographic_label,Canada,2026-03-26,3/26,known,82,2,,D?-[Canada] 3/26,needs_review,Second sender initial is unclear in source.
2026-04-06,IL,unknown,?,,?,unknown,82,3,,IL-? ?,needs_review,ZIP/geographic value and postmark are unclear in source.
2026-04-06,JH,zip_suffix,01,2026-04-01,4/1,known,82,4,,JH-01 4/1,reviewed,
2026-04-06,KJ,zip_suffix,22,2026-04-01,4/1,known,82,5,,KJ-22 4/1,reviewed,
2026-04-06,LH,zip_suffix,04,2026-04-01,4/1,known,82,6,,LH-04 4/1,reviewed,
2026-04-06,?F,zip_suffix,86,2026-04-01,4/1,known,82,7,,?F-86 4/1,needs_review,First sender initial is unclear in source.
2026-04-07,AG,geographic_label,Poland,2026-03-28,3/28,known,82,8,1,AG-[Poland] 3/28¹,reviewed,Superscript marker preserved from source; semantics not yet mapped.
2026-04-07,B?,zip_suffix,08,2026-03-30,3/30,known,82,9,,B?-08 3/30,needs_review,Second sender initial is unclear in source.
2026-04-07,CM,zip_suffix,09,2026-04-03,4/3,known,82,10,,CM-09 4/3,reviewed,
2026-04-07,DB,zip_suffix,94,2026-04-03,4/3,known,82,11,,DB-94 4/3,reviewed,
2026-04-07,IC,geographic_label,UK,2026-03-23,3/23,known,82,12,,IC-[UK] 3/23,reviewed,
2026-04-07,JA,zip_suffix,93,2026-04-03,4/3,known,82,13,,JA-93 4/3,reviewed,
2026-04-07,KR,zip_suffix,08,2026-04-03,4/3,known,82,14,,KR-08 4/3,reviewed,
2026-04-07,TN,geographic_label,UK,2026-04-02,4/2,known,82,15,,TN-[UK] 4/2,reviewed,
2026-04-08,AA,zip_suffix,44,2026-04-04,4/4,known,82,16,,AA-44 4/4,reviewed,
2026-04-08,BO,geographic_label,Puerto Rico,2026-04-02,4/2,known,82,17,,BO-[Puerto Rico] 4/2,reviewed,
2026-04-08,IV,zip_suffix,34,2026-04-04,4/4,known,82,18,,IV-34 4/4,reviewed,
2026-04-08,JU,zip_suffix,97,2026-04-06,4/6,known,82,19,,JU-97 4/6,reviewed,
2026-04-08,SW,zip_suffix,18,2026-04-02,4/2,known,82,20,,SW-18 4/2,reviewed,
2026-04-08,SM,zip_suffix,03,2026-04-02,4/2,known,82,21,,SM-03 4/2,reviewed,
2026-04-08,TC,zip_suffix,09,2026-04-06,4/6,known,82,22,,TC-09 4/6,reviewed,
2026-04-09,AC,zip_suffix,01,2026-04-07,4/7,known,82,23,,AC-01 4/7,reviewed,
2026-04-09,HO,zip_suffix,81,2026-04-06,4/6,known,82,24,,HO-81 4/6,reviewed,
2026-04-09,HZ,zip_suffix,40,2026-04-06,4/6,known,82,25,,HZ-40 4/6,reviewed,
2026-04-09,JD,zip_suffix,41,2026-04-06,4/6,known,82,26,,JD-41 4/6,reviewed,
2026-04-09,SM,zip_suffix,05,2026-04-07,4/7,known,82,27,,SM-05 4/7,reviewed,
2026-04-10,CB,zip_suffix,41,2026-04-07,4/7,known,82,28,,CB-41 4/7,reviewed,
2026-04-10,KF,zip_suffix,13,2026-04-07,4/7,known,82,29,,KF-13 4/7,reviewed,
2026-04-10,KR,zip_suffix,19,2026-04-07,4/7,known,82,30,,KR-19 4/7,reviewed,
2026-04-10,SM,zip_suffix,03,2026-04-07,4/7,known,82,31,,SM-03 4/7,reviewed,
2026-04-13,AS,geographic_label,UK,2026-03-31,3/31,known,82,32,1,AS-[UK] 3/31¹,reviewed,Superscript marker preserved from source; semantics not yet mapped.
2026-04-13,DC,geographic_label,Mongolia,2026-01-23,1/23,known,82,33,,DC-[Mongolia] 1/23,reviewed,
