date_received,first_initial,last_initial,zip_suffix,postmark_date,no_postmark_month_only,no_postmark_signed_date,post_type,forwarded_from_huntington_sci,notes
12/26/2024,A,B,17,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,C,01,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,H,30,12/20/2024,FALSE,,LETTER,,
12/26/2024,A,S,17,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,null,46,12/21/2024,FALSE,,LETTER,,
12/26/2024,C,C,01,12/20/2024,FALSE,,LETTER,,
12/26/2024,C,N,09,12/20/2024,FALSE,,LETTER,,
12/26/2024,D,M,19,12/21/2024,FALSE,,LETTER,,
12/26/2024,F,P,01,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,L,71,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,S,81,12/20/2024,FALSE,,LETTER,,
12/26/2024,B,G,35,12/20/2024,FALSE,,LETTER,,
12/26/2024,C,C,49,12/20/2024,FALSE,,LETTER,,
12/26/2024,C,P,11,12/21/2024,FALSE,,LETTER,,
12/26/2024,D,P,74,12/20/2024,FALSE,,LETTER,,
12/26/2024,G,E,35,null,FALSE,,LETTER,,
12/26/2024,A,O,32,12/20/2024,FALSE,,LETTER,,
12/26/2024,A,S,01,12/21/2024,FALSE,,LETTER,,
12/26/2024,B,L,08,12/21/2024,FALSE,,LETTER,,
12/26/2024,C,E,83,12/21/2024,FALSE,,LETTER,,
12/26/2024,C,R,85,12/21/2024,FALSE,,LETTER,,
12/26/2024,E,C,10,12/21/2024,FALSE,,LETTER,,
12/26/2024,G,J,02,12/20/2024,FALSE,,LETTER,,
12/26/2024,A,H,54,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,R,06,12/21/2024,FALSE,,LETTER,,
12/26/2024,A,T,19,12/20/2024,FALSE,,LETTER,,
12/26/2024,B,X,35,12/20/2024,FALSE,,LETTER,,
12/26/2024,C,L,55,12/20/2024,FALSE,,LETTER,,
12/26/2024,C,S,40,12/21/2024,FALSE,,LETTER,,
12/26/2024,E,H,13,12/21/2024,FALSE,,LETTER,,
12/26/2024,H,L,01,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,A,04,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,H,06,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,R,24,12/20/2024,FALSE,,LETTER,,
12/26/2024,K,H,54,12/20/2024,FALSE,,LETTER,,
12/26/2024,L,C,35,12/20/2024,FALSE,,LETTER,,
12/26/2024,M,G,02,12/20/2024,FALSE,,LETTER,,
12/26/2024,M,M,21,12/20/2024,FALSE,,LETTER,,
12/26/2024,M,T,60,12/21/2024,FALSE,,LETTER,,
12/26/2024,N,R,13,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,T,62,12/20/2024,FALSE,,LETTER,,
12/26/2024,P,S,42,12/20/2024,FALSE,,LETTER,,
12/26/2024,R,S,52,12/20/2024,FALSE,,LETTER,,
12/26/2024,S,M,09,12/20/2024,FALSE,,LETTER,,
12/26/2024,T,M,60,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,A,69,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,I,74,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,R,50,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,Y,01,12/21/2024,FALSE,,LETTER,,
12/26/2024,K,K,12,12/21/2024,FALSE,,LETTER,,
12/26/2024,L,L,76,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,J,25,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,P,27,null,FALSE,,LETTER,,
12/26/2024,M,W,19,12/20/2024,FALSE,,LETTER,,
12/26/2024,N,null,14,12/20/2024,FALSE,,LETTER,,
12/26/2024,P,T,75,12/23/2024,FALSE,,LETTER,,
12/26/2024,S,A,26,12/21/2024,FALSE,,LETTER,,
12/26/2024,S,M,25,12/20/2024,FALSE,,LETTER,,
12/26/2024,V,F,69,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,C,53,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,M,04,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,S,38,12/20/2024,FALSE,,LETTER,,
12/26/2024,K,A,11,12/21/2024,FALSE,,LETTER,,
12/26/2024,K,S,58,null,FALSE,,LETTER,,
12/26/2024,M,C,05,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,K,12,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,P,34,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,Z,89,12/20/2024,FALSE,,LETTER,,
12/26/2024,O,G,71,12/20/2024,FALSE,,LETTER,,
12/26/2024,R,B,42,12/21/2024,FALSE,,LETTER,,
12/26/2024,S,J,68,12/20/2024,FALSE,,LETTER,,
12/26/2024,S,S,15,12/21/2024,FALSE,,LETTER,,
12/26/2024,V,L,32,12/21/2024,FALSE,,LETTER,,
12/26/2024,J,H,03,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,M,09,12/20/2024,FALSE,,LETTER,,
12/26/2024,J,T,09,12/20/2024,FALSE,,LETTER,,
12/26/2024,K,B,07,NULL,FALSE,,LETTER,,
12/26/2024,L,A,09,12/20/2024,FALSE,,LETTER,,
12/26/2024,M,C,54,12/20/2024,FALSE,,LETTER,,
12/26/2024,M,K,48,12/21/2024,FALSE,,LETTER,,
12/26/2024,M,R,32,12/20/2024,FALSE,,LETTER,,
12/26/2024,N,F,62,12/20/2024,FALSE,,LETTER,,
12/26/2024,P,A,43,12/21/2024,FALSE,,LETTER,,
12/26/2024,R,R,50,12/23/2024,FALSE,,LETTER,,
12/26/2024,S,K,79,12/21/2024,FALSE,,LETTER,,
12/26/2024,T,A,56,12/21/2024,FALSE,,LETTER,,
12/26/2024,W,H,61,12/21/2024,FALSE,,LETTER,,
1/8/2025,A,C,38,12/31/2024,FALSE,,LETTER,,
1/8/2025,M,M,RUSSIA,12/25/2024,FALSE,,LETTER,,
1/8/2025,K,O,SOUTH KOREA,12/28/2024,FALSE,,LETTER,,
1/8/2025,M,M,ENGLAND,12/30/2024,FALSE,,LETTER,,
1/8/2025,L,N,19,1/2/2025,FALSE,,LETTER,,
1/8/2025,Y,S,19,null,FALSE,,LETTER,,
1/9/2025,A,T,46,1/7/2025,FALSE,,LETTER,,
1/9/2025,J,B,09,1/7/2025,FALSE,,LETTER,,
1/10/2025,A,B,62,1/2/2025,FALSE,,LETTER,,
1/10/2025,E,S,IRELAND,12/28/2024,FALSE,,LETTER,,
1/10/2025,M,S,17,12/28/2024,FALSE,,LETTER,,
1/10/2025,A,S,81,1/3/2025,FALSE,,LETTER,,
1/10/2025,K,C,05,1/3/2025,FALSE,,LETTER,,
1/10/2025,N,N,36,12/27/2024,FALSE,,LETTER,,
1/10/2025,A,T,55,1/3/2025,FALSE,,LETTER,,
1/10/2025,K,G,62,12/30/2024,FALSE,,LETTER,,
1/10/2025,E,H,60,12/23/2024,FALSE,,LETTER,,
1/10/2025,K,G,61,12/31/2024,FALSE,,LETTER,,
1/13/2025,B,S,61,1/7/2025,FALSE,,LETTER,,
1/13/2025,M,W,19,1/7/2025,FALSE,,LETTER,,
1/13/2025,S,K,78,1/7/2025,FALSE,,LETTER,,
1/13/2025,G,L,05,1/6/2025,FALSE,,LETTER,,
1/13/2025,M,W,65,1/7/2025,FALSE,,LETTER,,
1/13/2025,W,A,CANADA,12/23/2024,FALSE,,LETTER,,
1/13/2025,L,Y,13,1/8/2025,FALSE,,LETTER,,
1/13/2025,R,T,44,1/6/2025,FALSE,,LETTER,,
1/13/2025,M,S,67,1/7/2025,FALSE,,LETTER,,
1/13/2025,S,K,78,1/7/2025,FALSE,,LETTER,,
1/14/2025,A,G,CANADA,12/23/2024,FALSE,,LETTER,,
1/14/2025,B,B,CANADA,12/24/2024,FALSE,,LETTER,,
1/14/2025,K,G,48,1/7/2025,FALSE,,LETTER,,
1/14/2025,R,N,16,1/4/2025,FALSE,,LETTER,,
1/14/2025,V,T,12,1/8/2025,FALSE,,LETTER,,
1/14/2025,A,L,04,12/21/2024,FALSE,,LETTER,,
1/14/2025,E,R,27,1/6/2025,FALSE,,LETTER,,
1/14/2025,M,C,46,1/6/2025,FALSE,,LETTER,,
1/14/2025,S,M,49,12/20/2024,FALSE,,LETTER,,
1/14/2025,Z,B,62,1/11/2025,FALSE,,LETTER,,
1/14/2025,A,R,35,1/4/2025,FALSE,,LETTER,,
1/14/2025,J,B,63,1/4/2025,FALSE,,LETTER,,
1/14/2025,P,A,32,1/4/2025,FALSE,,LETTER,,
1/14/2025,S,R,14,1/8/2025,FALSE,,LETTER,,
1/14/2025,B,A,68,1/2/2025,FALSE,,LETTER,,
1/14/2025,J,L,35,1/3/2025,FALSE,,LETTER,,
1/14/2025,P,A,32,1/6/2025,FALSE,,LETTER,,
1/14/2025,T,K,07,1/6/2025,FALSE,,LETTER,,
1/15/2025,B,C,81,null,FALSE,,LETTER,,
1/15/2025,J,K,09,1/10/2025,FALSE,,LETTER,,
1/15/2025,S,K,01,1/3/2025,FALSE,,LETTER,,
1/15/2025,C,K,32,1/7/2025,FALSE,,LETTER,,
1/15/2025,R,B,53,1/6/2025,FALSE,,LETTER,,
1/15/2025,T,J,04,1/11/2025,FALSE,,LETTER,,
1/15/2025,G,L,03,1/10/2025,FALSE,,LETTER,,
1/15/2025,R,N,17,null,FALSE,,LETTER,,
1/15/2025,H,N,03,1/8/2025,FALSE,,LETTER,,
1/15/2025,S,B,36,1/6/2025,FALSE,,LETTER,,
1/16/2025,A,H,01,1/10/2025,FALSE,,LETTER,,
1/16/2025,B,B,12,1/11/2025,FALSE,,LETTER,,
1/16/2025,M,P,02,null,FALSE,,LETTER,,
1/16/2025,T,M,04,1/7/2025,FALSE,,LETTER,,
1/16/2025,A,M,79,1/11/2025,FALSE,,LETTER,,
1/16/2025,D,A,15,1/11/2025,FALSE,,LETTER,,
1/16/2025,N,N,06,1/10/2025,FALSE,,LETTER,,
1/16/2025,A,V,22,1/10/2025,FALSE,,LETTER,,
1/16/2025,K,T,55,12/21/2024,FALSE,,LETTER,,
1/16/2025,R,H,38,1/7/2025,FALSE,,LETTER,,
1/16/2025,B,B,27,1/11/2025,FALSE,,LETTER,,
1/16/2025,M,H,71,1/11/2025,FALSE,,LETTER,,
1/16/2025,S,T,40,1/10/2025,FALSE,,LETTER,,
1/17/2025,D,M,SPAIN,1/8/2025,FALSE,,LETTER,,
1/17/2025,O,A,49,1/13/2025,FALSE,,LETTER,,
1/17/2025,G,G,31,1/8/2025,FALSE,,LETTER,,
1/17/2025,R,D,19,1/8/2025,FALSE,,LETTER,,
1/17/2025,J,G,06,1/13/2025,FALSE,,LETTER,,
1/17/2025,S,M,09,null,FALSE,,LETTER,,
1/17/2025,N,H,ENGLAND,null,FALSE,,LETTER,,
1/17/2025,S,K,ENGLAND,1/11/2025,FALSE,,LETTER,,
1/21/2025,A,T,46,1/15/2015,FALSE,,LETTER,,
1/21/2025,J,Y,80,1/13/2025,FALSE,,LETTER,,
1/21/2025,J,Y,80,1/13/2025,FALSE,,LETTER,,
1/21/2025,S,M,49,NULL,FALSE,,LETTER,,
1/23/2025,A,A,03,1/2/2025,FALSE,,LETTER,,
1/23/2025,B,K,CANADA,NULL,FALSE,,LETTER,,
1/23/2025,K,M,02,1/14/2025,FALSE,,LETTER,,
1/23/2025,T,D,01,1/16/2025,FALSE,,LETTER,,
1/23/2025,A,K,59,1/2/2025,FALSE,,LETTER,,
1/23/2025,C,S,01,12/28/2024,FALSE,,LETTER,,
1/23/2025,L,L,50,12/27/2024,FALSE,,LETTER,,
1/23/2025,T,S,GUYANA,null,FALSE,,LETTER,,
1/23/2025,A,R,22,12/31/2024,FALSE,,LETTER,,
1/23/2025,D,H,07,12/27/2024,FALSE,,LETTER,,
1/23/2025,L,P,06,12/31/2024,FALSE,,LETTER,,
1/23/2025,B,B,03,12/30/2024,FALSE,,LETTER,,
1/23/2025,E,L,23,12/30/2024,FALSE,,LETTER,,
1/23/2025,P,A,32,1/14/2025,FALSE,,LETTER,,
1/23/2025,V,L,68,12/30/2024,FALSE,,LETTER,,
1/24/2025,A,R,25,1/22/2025,FALSE,,LETTER,,
1/24/2025,J,H,29,1/23/2025,FALSE,,LETTER,,
1/24/2025,S,F,AUSTRALIA,1/7/2025,FALSE,,LETTER,,
1/24/2025,Z,R,01,1/15/2025,FALSE,,LETTER,,
1/24/2025,A,T,55,1/22/2025,FALSE,,LETTER,,
1/24/2025,K,S,40,1/22/2025,FALSE,,LETTER,,
1/24/2025,D,M,CHINA,1/13/2025,FALSE,,LETTER,,
1/24/2025,B,P,30,1/21/2025,FALSE,,LETTER,,
1/24/2025,L,N,GERMANY,1/6/2021,FALSE,,LETTER,,
1/24/2025,Z,H,10,1/21/2025,FALSE,,LETTER,,
1/24/2025,J,C,14,1/22/2025,FALSE,,LETTER,,
1/24/2025,Z,J,61,1/21/2025,FALSE,,LETTER,,
1/28/2025,A,M,03,1/10/2025,FALSE,,LETTER,,
1/28/2025,H,B,38,1/21/2025,FALSE,,LETTER,,
1/28/2025,B,W,44,1/15/2025,FALSE,,LETTER,,
1/28/2025,H,B,38,1/21/2025,FALSE,,LETTER,,
1/28/2025,C,P,14,1/14/2025,FALSE,,LETTER,,
1/28/2025,P,G,11,1/23/2025,FALSE,,LETTER,,
1/28/2025,F,S,07,null,FALSE,,LETTER,,
1/28/2025,V,R,61,1/21/2025,FALSE,,LETTER,,
1/29/2025,A,A,30,1/17/2025,FALSE,,LETTER,,
1/29/2025,D,S,CANADA,NULL,FALSE,,LETTER,,
1/29/2025,S,C,74,1/17/2025,FALSE,,LETTER,,
1/29/2025,A,H,99,1/16/2025,FALSE,,LETTER,,
1/29/2025,E,J,30,1/24/2025,FALSE,,LETTER,,
1/29/2025,T,L,05,1/21/2025,FALSE,,LETTER,,
1/29/2025,C,H,68,1/23/2025,FALSE,,LETTER,,
1/29/2025,J,J,46,NULL,FALSE,,LETTER,,
1/29/2025,W,H,70,1/21/2025,FALSE,,LETTER,,
1/29/2025,D,B,CANADA,1/20/2025,FALSE,,LETTER,,
1/29/2025,O,D,02,1/17/2025,FALSE,,LETTER,,
1/30/2025,B,NULL,41,12/31/2024,FALSE,,LETTER,,
1/30/2025,I,M,24,1/3/2025,FALSE,,LETTER,,
1/30/2025,M,H,56,12/30/2024,FALSE,,LETTER,,
1/30/2025,C,D,88,12/31/2024,FALSE,,LETTER,,
1/30/2025,J,R,10,1/2/2025,FALSE,,LETTER,,
1/30/2025,C,M,CANADA,12/28/2024,FALSE,,LETTER,,
1/30/2025,K,C,13,1/3/2025,FALSE,,LETTER,,
1/30/2025,D,D,05,1/2/2025,FALSE,,LETTER,,
1/30/2025,M,H,48,12/31/2024,FALSE,,LETTER,,
